hangul	hanja	evidence	example_resource
결과	結果	stdict.tsv:173655	ui_help23
경계	境界	stdict.tsv:55931	ui_drag_out_to_expand_in_to_trim_drag
계속	繼續	stdict.tsv:177206	ui_keep_editing23
곡선	曲線	stdict.tsv:111871	ui_finish_curve
공간	空間	stdict.tsv:166682	ui_drag_out_to_expand_in_to_trim_drag
공유	共有	stdict.tsv:26739	ui_share_saved_image
기기	機器	stdict.tsv:121860	ui_from_device34
기록	記錄	stdict.tsv:201371	ui_history_unavailable34
다각형	多角形	stdict.tsv:58383	ui_finish_polygon
다시 실행	再實行	editorial synonym: 다시 → 再 (27646); 실행 → 實行 (71281)	ui_help23
도구	道具	stdict.tsv:218812	ui_expand_toolbox
도형	圖形	stdict.tsv:52947	ui_the_arrow_on_the_left_directly_below_the
명도	明度	stdict.tsv:108995	ui_hue_and_saturation_wheel_value_slider_on_the
무손실	無損失	무 → 無 (140878) + 손실 → 損失 (100452)	formats22_base64_description
문서	文書	stdict.tsv:105566	ui_android_could_not_find_a_file_picker_enable
문자	文字	stdict.tsv:105452	save20_invalid_name
미배치	未配置	미 → 未 (114740) + 배치 → 配置 (222169)	ui_not_placed
반투명	半透明	stdict.tsv:38768	ui_add_up_to_20_images_with_android_s
배경	背景	stdict.tsv:182042	ui_bg
배경색	背景色	배경 → 背景 (182042) + 색 → 色 (187615)	ui_colour_tap_foreground_hold_background
배치	配置	stdict.tsv:222169	ui_crop_preview_images
범위	範圍	stdict.tsv:169507	ui_no_attachment_fits_within_the_current_coordinate_range
변경	變更	stdict.tsv:205890	ui_resize_image
변환	變換	stdict.tsv:205870	colour_converter_unavailable
복구	復舊	stdict.tsv:85962	ui_a_separate_recovery_copy_has_been_kept_use
복사	複寫	stdict.tsv:197966	gallery_copy_credit
복원	復元	stdict.tsv:85811	ui_keeps_pixels_at_the_top_left_smaller_canvas
비율	比率	stdict.tsv:126455	ui_scales_the_image_unlock_the_ratio_to_stretch
사각형	四角形	stdict.tsv:51199	ui_rectangle_select
사용	使用	stdict.tsv:16048	ui_android_could_not_find_a_file_picker_enable
사용자	使用者	stdict.tsv:16057	ui_add_to_custom_colours
삭제	削除	stdict.tsv:33046	ui_delete_selection
삽입	揷入	stdict.tsv:100370	ui_paste_hint34
색상	色相	stdict.tsv:187711	colour_converter_unavailable
색상환	色相環	stdict.tsv:187712	ui_wheel
색조	色調	stdict.tsv:187757	ui_hue_and_saturation_wheel_value_slider_on_the
선택	選擇	stdict.tsv:220023	ui_pencil_keeps_crisp_one_pixel_strokes_cursor_drawing
설명	說明	stdict.tsv:203303	ui_gallery_artwork_catrobat_and_its_credited_creators_cc
설정	設定	stdict.tsv:201514	ui_android_could_not_find_a_file_picker_enable
수정	修正	stdict.tsv:17952	ui_modified_oldest_first
수채화	水彩畫	stdict.tsv:127558	ui_draw_soft_watercolor_strokes_strength_controls_how_strongly
시간	時間	stdict.tsv:110260	ui_modified_oldest_first
실시간	實時間	stdict.tsv:71139	ui_the_arrow_on_the_left_directly_below_the
실행	實行	stdict.tsv:71281	ui_keeps_pixels_at_the_top_left_smaller_canvas
안전	安全	stdict.tsv:67088	ui_d_d_pixels_2f_mp_exceeds_the_current
암호	暗號	stdict.tsv:111220	formats22_pdf_encrypted
암호화	暗號化	stdict.tsv:111221	formats22_pdf_encrypted
